,All Events Count,All Events % Total,All Events % Parent,All Events Count/uL,All Events Median B2-A,All Events Median FSC-A,All Events Mean B2-A,All Events Mean YG3-A,Cells Count,Cells % Total,Cells % Parent,Cells Count/uL,Cells Median B2-A,Cells Median FSC-A,Cells Mean B2-A,Cells Mean YG3-A,FSC_Singlets Count,FSC_Singlets % Total,FSC_Singlets % Parent,FSC_Singlets Count/uL,FSC_Singlets Median B2-A,FSC_Singlets Median FSC-A,FSC_Singlets Mean B2-A,FSC_Singlets Mean YG3-A,mCitrine Count,mCitrine % Total,mCitrine % Parent,mCitrine Count/uL,mCitrine Median B2-A,mCitrine Median FSC-A,mCitrine Mean B2-A,mCitrine Mean YG3-A,FSC_S_1copy Count,FSC_S_1copy % Total,FSC_S_1copy % Parent,FSC_S_1copy Count/uL,FSC_S_1copy Median B2-A,FSC_S_1copy Median FSC-A,FSC_S_1copy Mean B2-A,FSC_S_1copy Mean YG3-A,FSC_S_2copy Count,FSC_S_2copy % Total,FSC_S_2copy % Parent,FSC_S_2copy Count/uL,FSC_S_2copy Median B2-A,FSC_S_2copy Median FSC-A,FSC_S_2copy Mean B2-A,FSC_S_2copy Mean YG3-A,FSC_S_0copy Count,FSC_S_0copy % Total,FSC_S_0copy % Parent,FSC_S_0copy Count/uL,FSC_S_0copy Median B2-A,FSC_S_0copy Median FSC-A,FSC_S_0copy Mean B2-A,FSC_S_0copy Mean YG3-A,Cell_1copy Count,Cell_1copy % Total,Cell_1copy % Parent,Cell_1copy Count/uL,Cell_1copy Median B2-A,Cell_1copy Median FSC-A,Cell_1copy Mean B2-A,Cell_1copy Mean YG3-A,Cell_2copy Count,Cell_2copy % Total,Cell_2copy % Parent,Cell_2copy Count/uL,Cell_2copy Median B2-A,Cell_2copy Median FSC-A,Cell_2copy Mean B2-A,Cell_2copy Mean YG3-A,Cell_0copy Count,Cell_0copy % Total,Cell_0copy % Parent,Cell_0copy Count/uL,Cell_0copy Median B2-A,Cell_0copy Median FSC-A,Cell_0copy Mean B2-A,Cell_0copy Mean YG3-A,SSC_singlets Count,SSC_singlets % Total,SSC_singlets % Parent,SSC_singlets Count/uL,SSC_singlets Median B2-A,SSC_singlets Median FSC-A,SSC_singlets Mean B2-A,SSC_singlets Mean YG3-A,SSC_S_1copy Count,SSC_S_1copy % Total,SSC_S_1copy % Parent,SSC_S_1copy Count/uL,SSC_S_1copy Median B2-A,SSC_S_1copy Median FSC-A,SSC_S_1copy Mean B2-A,SSC_S_1copy Mean YG3-A,SSC_S_2copy Count,SSC_S_2copy % Total,SSC_S_2copy % Parent,SSC_S_2copy Count/uL,SSC_S_2copy Median B2-A,SSC_S_2copy Median FSC-A,SSC_S_2copy Mean B2-A,SSC_S_2copy Mean YG3-A,SSC_S_0copy Count,SSC_S_0copy % Total,SSC_S_0copy % Parent,SSC_S_0copy Count/uL,SSC_S_0copy Median B2-A,SSC_S_0copy Median FSC-A,SSC_S_0copy Mean B2-A,SSC_S_0copy Mean YG3-A
Students_June9-3959,"20000","100.00","100.00","29851","131878.03","1339417.63","160137","504","18591","92.96","92.96","27748","124084.08","1270891.00","136970","433","11702","58.51","62.94","17466","87407.66","997140.88","92527","304","11670","58.35","99.73","17418","87514.73","997584.13","92617","301","3","0.02","0.03","4","5393.36","919618.00","8029","2855","11666","58.33","99.69","17412","87416.36","997052.75","92420","300","0","0.00","0.00","0","N/A","N/A","N/A","N/A","18420","92.10","99.08","27493","123459.59","1269242.50","135925","427","207","1.04","1.11","309","194062.03","1259581.88","233327","605","0","0.00","0.00","0","N/A","N/A","N/A","N/A","14759","73.80","79.39","22028","103485.72","1115645.50","108296","350","14338","71.69","97.15","21400","101586.53","1108447.50","106374","343","421","2.11","2.85","628","173910.86","1283276.00","182608","491","0","0.00","0.00","0","N/A","N/A","N/A","N/A"
Students_June9-3958,"20000","100.00","100.00","22727","116044.63","1554427.00","138444","731","18953","94.77","94.77","21538","110317.96","1484064.88","122329","653","10604","53.02","55.95","12050","65789.67","948186.38","74932","438","10492","52.46","98.94","11923","66423.16","951919.88","75660","412","10","0.05","0.09","11","6109.62","1004899.50","7144","3022","10490","52.45","98.92","11920","66379.66","951285.25","75518","412","1","0.01","0.01","1","1146.04","488235.97","1146","1112","18672","93.36","98.52","21218","110894.42","1493933.75","122471","619","64","0.32","0.34","73","302117.63","1988305.75","302802","1097","1","0.01","0.01","1","721.96","283513.94","722","1530","15362","76.81","81.05","17457","90463.42","1215419.50","98474","551","15120","75.60","98.42","17182","91122.25","1222229.50","99089","512","65","0.33","0.42","74","215053.98","1473802.75","214329","877","3","0.02","0.02","3","712.31","260391.47","813","907"
Students_June9-3283,"20000","100.00","100.00","22727","1056.99","1295291.00","1447","325","18763","93.82","93.82","21322","993.67","1222999.88","1253","291","11259","56.30","60.01","12794","698.20","942245.88","775","209","1","0.01","0.01","1","106700.77","1349494.50","106701","816","0","0.00","0.00","0","N/A","N/A","N/A","N/A","1","0.01","0.01","1","106700.77","1349494.50","106701","816","10584","52.92","94.00","12027","712.97","962465.38","771","206","2","0.01","0.01","2","105977.78","1450177.25","105978","741","0","0.00","0.00","0","N/A","N/A","N/A","N/A","17952","89.76","95.68","20400","975.94","1216742.25","1198","281","15616","78.08","83.23","17745","844.62","1083950.75","1001","245","2","0.01","0.01","2","105977.78","1450177.25","105978","741","0","0.00","0.00","0","N/A","N/A","N/A","N/A","15422","77.11","98.76","17525","836.76","1081868.75","968","237"
Students_June9-2807,"20000","100.00","100.00","33898","1016.37","1166375.50","1448","438","18632","93.16","93.16","31580","956.27","1097555.25","1229","388","11636","58.18","62.45","19722","706.72","828975.38","768","281","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","11009","55.05","94.61","18659","717.87","843626.44","766","282","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","17761","88.81","95.33","30103","937.95","1090721.25","1185","381","15642","78.21","83.95","26512","826.56","973807.63","980","331","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","15430","77.15","98.64","26153","819.61","968284.75","960","326"
Students_June9-3960,"20000","100.00","100.00","31250","114329.41","1278451.38","136640","498","19150","95.75","95.75","29922","110332.73","1245277.50","124142","457","12689","63.45","66.26","19827","79952.34","998053.75","88169","338","12653","63.27","99.72","19770","80104.95","998904.88","88371","333","7","0.04","0.06","11","6961.95","977568.63","8030","2627","12627","63.14","99.51","19730","79964.48","997683.00","88008","332","3","0.02","0.02","5","975.97","418371.59","1042","483","18967","94.84","99.04","29636","109845.77","1243161.50","123166","446","136","0.68","0.71","213","260481.77","1677244.00","265246","742","3","0.02","0.02","5","975.97","418371.59","1042","483","16321","81.61","85.23","25502","96028.91","1135009.25","103646","388","16044","80.22","98.30","25069","95210.72","1130616.13","102613","377","230","1.15","1.41","359","193567.58","1409458.00","199447","589","3","0.02","0.02","5","1227.72","512898.56","1126","678"
Students_June9-TJ2807,"20000","100.00","100.00","68966","989.35","1144611.75","1277","432","19333","96.67","96.67","66666","963.03","1122300.00","1189","409","12694","63.47","65.66","43772","715.86","880795.88","780","301","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","11899","59.50","93.74","41031","730.30","902498.38","785","304","1","0.01","0.01","3","163692.47","1715253.13","163692","527","0","0.00","0.00","0","N/A","N/A","N/A","N/A","18445","92.23","95.41","63603","944.02","1116082.00","1137","402","16738","83.69","86.58","57717","859.46","1022243.50","1000","357","1","0.01","0.01","3","163692.47","1715253.13","163692","527","0","0.00","0.00","0","N/A","N/A","N/A","N/A","16486","82.43","98.49","56848","848.60","1018169.75","968","352"
Students_June9-TJ3961,"20000","100.00","100.00","34483","113764.28","1332121.88","129981","547","19240","96.20","96.20","33172","110600.02","1304373.13","120302","510","11670","58.35","60.65","20121","82028.81","1021738.94","84623","362","11605","58.03","99.44","20009","82183.89","1022629.56","84963","359","13","0.07","0.11","22","7855.38","935309.44","9936","1954","11604","58.02","99.43","20007","82157.42","1022088.00","84818","357","21","0.11","0.18","36","953.01","877082.56","934","280","19070","95.35","99.12","32879","110475.67","1302498.00","119785","504","84","0.42","0.44","145","300737.97","1837458.25","291577","1025","34","0.17","0.18","59","1054.02","1145986.50","1246","330","16123","80.62","83.80","27798","97324.91","1170585.50","100115","428","15961","79.81","99.00","27519","97234.10","1168894.75","99827","422","98","0.49","0.61","169","214879.56","1540696.75","216978","755","32","0.16","0.20","55","993.56","1085200.25","1090","304"
Students_June9-TJ3283,"20000","100.00","100.00","31250","1110.54","1390699.75","1448","347","18866","94.33","94.33","29478","1050.55","1328153.50","1278","313","10955","54.78","58.07","17117","725.91","987436.13","804","219","1","0.01","0.01","2","39620.16","429587.72","39620","-52","0","0.00","0.00","0","N/A","N/A","N/A","N/A","1","0.01","0.01","2","39620.16","429587.72","39620","-52","10310","51.55","94.11","16109","744.59","1009101.63","811","218","1","0.01","0.01","2","39620.16","429587.72","39620","-52","0","0.00","0.00","0","N/A","N/A","N/A","N/A","18215","91.08","96.55","28461","1038.56","1324200.13","1243","306","15374","76.87","81.49","24022","882.02","1151716.25","1016","261","1","0.01","0.01","2","39620.16","429587.72","39620","-52","0","0.00","0.00","0","N/A","N/A","N/A","N/A","15222","76.11","99.01","23784","875.65","1148936.25","998","255"
Students_June9-2807LCS,"20000","100.00","100.00","33898","1082.36","1150405.50","1324","392","19317","96.59","96.59","32741","1053.11","1130833.13","1230","366","14092","70.46","72.95","23885","860.52","979937.25","941","292","0","0.00","0.00","0","N/A","N/A","N/A","N/A","1","0.01","0.01","2","4929.73","887177.75","4930","4689","0","0.00","0.00","0","N/A","N/A","N/A","N/A","13078","65.39","92.80","22166","879.79","1003347.50","948","296","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","18472","92.36","95.63","31308","1035.93","1129398.00","1202","361","17002","85.01","88.02","28817","944.24","1053007.75","1053","321","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","16783","83.92","98.71","28446","932.54","1048663.38","1034","316"
Students_June9-3283LCS,"20000","100.00","100.00","32258","1418.59","1462341.88","1735","373","18568","92.84","92.84","29948","1308.03","1320093.00","1509","328","11177","55.89","60.19","18027","869.66","998245.56","989","238","0","0.00","0.00","0","N/A","N/A","N/A","N/A","12","0.06","0.11","19","5300.47","830490.88","5188","5415","0","0.00","0.00","0","N/A","N/A","N/A","N/A","10500","52.50","93.94","16935","868.49","1003711.00","962","228","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","17656","88.28","95.09","28477","1249.10","1289595.25","1442","312","15310","76.55","82.45","24694","1077.53","1131799.38","1241","281","0","0.00","0.00","0","N/A","N/A","N/A","N/A","0","0.00","0.00","0","N/A","N/A","N/A","N/A","15008","75.04","98.03","24206","1057.61","1127980.50","1208","268"
